datetime,open,high,low,close
2024-03-21T00:00:00.000000,175.45322885093574,175.8892630091755,169.29922879245808,169.82444763183594
2024-03-22T00:00:00.000000,170.21095802650942,171.48933248689517,168.5262926884995,170.7262725830078
2024-03-25T00:00:00.000000,169.03166954174233,170.3893089389317,167.92176032191367,169.30914306640625
2024-03-26T00:00:00.000000,168.4668059986792,169.87399750483326,168.0505957042821,168.17942810058594
2024-03-27T00:00:00.000000,168.87312383270142,172.0343565405087,168.57582642397568,171.74696350097656
2024-03-28T00:00:00.000000,170.2010103030642,170.67667701496117,168.97218824939392,169.93344116210938
2024-04-01T00:00:00.000000,169.64609346633853,169.70554992575666,167.9515087670476,168.49655151367188
2024-04-02T00:00:00.000000,167.55514751320567,167.81279724986138,166.71280722151346,167.3173065185547
2024-04-03T00:00:00.000000,167.26773529316293,169.140689438472,167.05963767767048,168.11997985839844
2024-04-04T00:00:00.000000,168.7541832986243,170.3694875068381,167.29745483398438,167.29745483398438
2024-04-05T00:00:00.000000,168.06051777285862,168.85330584999502,167.4262903353845,168.0506134033203
2024-04-08T00:00:00.000000,167.50554175274334,167.67400673287588,166.72267330140122,166.93077087402344
2024-04-09T00:00:00.000000,167.17853275073267,168.5460917055098,166.83169838821917,168.13978576660156
2024-04-10T00:00:00.000000,167.27765088979615,167.56502882108228,165.60289002910008,166.266845703125
2024-04-11T00:00:00.000000,166.8217782077108,173.87757491447604,166.64340884278624,173.4613494873047
2024-04-12T00:00:00.000000,172.68837774790788,176.75140669942581,172.63884078505302,174.95773315429688
2024-04-15T00:00:00.000000,173.77847120218846,175.0370216134587,170.94426424521788,171.13255310058594
2024-04-16T00:00:00.000000,170.20103782824683,172.1929047923956,166.75242714722782,167.8524169921875
2024-04-17T00:00:00.000000,168.08035923089483,169.11097325425362,166.48487854003906,166.48487854003906
2024-04-18T00:00:00.000000,166.51456987389489,167.11906901091456,165.0479219314042,165.5334930419922
2024-04-19T00:00:00.000000,164.7109957890585,164.89926951971245,162.6002009445124,163.51190185546875
2024-04-22T00:00:00.000000,164.02723892062434,165.75153680925646,163.28400290071727,164.34434509277344
2024-04-23T00:00:00.000000,163.85875133255257,165.54341638804536,163.43262154349364,165.39476013183594
2024-04-24T00:00:00.000000,165.03800691456527,167.77312477902248,164.71099641624178,167.4956512451172
2024-04-25T00:00:00.000000,168.0010494911784,169.07131105182287,166.63349053238153,168.35780334472656
2024-04-26T00:00:00.000000,168.3478879652858,169.79471202253325,167.6541890412428,167.7731170654297
